receiver,amount
Kody,1500
shee,11500
geeknees#6235,500
Atsushi Kokubu#1550,1000
shimomiya_k,500
junkei,500
KAZUYA,500
nabe#4266,500
furusawakj,1000
iamippei,500
YasuYasu_onFire#2189,500
naoyo4#0545,500
junk#4633,500
nomado#2101,500
daishin#2396,500
mashharuki#9415,2000
Tatsuya タツヤ#2458,1000
bamb00#6028,500
hebitsuka,1500
mosha#6334,2000
Akihi,500
_shutanaka#2305,500
kota3kota3,500
a2chtt85#6202,500
Tatsuya,1000
56738#2174,1000
hamaup#3077,500
Kaky#7899,500
sazanami#1980,500
JULIAAAAAA#8704,500
koshi#0686,500
chelcyyy#6135,500
masaru#3352,500
